id,season,date,arena,H_team,A_team_id,A_team,A_team_id,H_score,A_score,ref1,ref2,ref3,ties,leadChange,nugget
9181,2021,2021-12-12T01:00:00.000Z,FedExForum,Memphis Grizzlies,19,Houston Rockets,14,113,106,Tony Brothers,J.T. Orr,Suyash Mehta,0,1,
9182,2021,2021-12-12T01:30:00.000Z,Wells Fargo Center,Philadelphia 76ers,27,Golden State Warriors,11,102,93,Ed Malloy,David Guthrie,Marat Kogut,9,11,
9183,2021,2021-12-12T01:30:00.000Z,AT&T Center,San Antonio Spurs,31,Denver Nuggets,9,112,127,Tom Washington,Kane Fitzgerald,Jenna Schroeder,3,6,
9184,2021,2021-12-12T17:00:00.000Z,Madison Square Garden,New York Knicks,24,Milwaukee Bucks,21,97,112,Brian Forte,Josh Tiven,Brett Nansel,0,0,
9185,2021,2021-12-12T23:00:00.000Z,Little Caesars Arena,Detroit Pistons,10,Brooklyn Nets,4,104,116,Karl Lane,Kevin Scott,Ray Acosta,4,6,
9186,2021,2021-12-13T00:00:00.000Z,Paycom Center,Oklahoma City Thunder,25,Dallas Mavericks,8,84,103,Bill Kennedy,Natalie Sago,John Butler,1,2,
9187,2021,2021-12-13T00:00:00.000Z,AT&T Center,San Antonio Spurs,31,New Orleans Pelicans,23,112,97,Pat Fraher,Mitchell Ervin,Dedric Taylor,8,10,
9188,2021,2021-12-13T02:00:00.000Z,Moda Center,Portland Trail Blazers,29,Minnesota Timberwolves,22,111,116,Scott Twardoski,Tyler Ford,Jacyn Goble,12,12,
9189,2021,2021-12-13T02:30:00.000Z,STAPLES Center,Los Angeles Lakers,17,Orlando Magic,26,106,94,Matt Boland,Sean Wright,Brent Barnaky,2,8,
9190,2021,2021-12-14T00:00:00.000Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,7,Miami Heat,20,105,94,Marat Kogut,Josh Tiven,CJ Washington,7,6,
9191,2021,2021-12-14T00:00:00.000Z,Gainbridge Fieldhouse,Indiana Pacers,15,Golden State Warriors,11,100,102,Michael Smith,Courtney Kirkland,Jenna Reneau,12,9,
